loss,accuracy,precision,recall,auc,val_loss,val_accuracy,val_precision,val_recall,val_auc,lr
0.32645168900489807,0.8982333540916443,0.9425725936889648,0.8644333481788635,0.9926857948303223,0.07177392393350601,0.9764999747276306,0.9801691174507141,0.9736999869346619,0.9991403222084045,0.001
0.11274512857198715,0.9649166464805603,0.9714459180831909,0.9593999981880188,0.9983192682266235,0.04401880502700806,0.9861999750137329,0.9884538054466248,0.984499990940094,0.9997888207435608,0.001
0.08317874372005463,0.9743499755859375,0.978415310382843,0.97079998254776,0.998872697353363,0.03231057897210121,0.9891999959945679,0.9908762574195862,0.9883000254631042,0.9997153878211975,0.001
0.06461527198553085,0.9797333478927612,0.9826858043670654,0.977150022983551,0.9991152882575989,0.03233649209141731,0.9894999861717224,0.9903855919837952,0.9889000058174133,0.999727189540863,0.001
0.05536424741148949,0.9833833575248718,0.9853777885437012,0.9816333055496216,0.9992621541023254,0.02941545471549034,0.9909999966621399,0.9914914965629578,0.9904999732971191,0.9994266033172607,0.001
0.05067678168416023,0.9841333627700806,0.9860328435897827,0.9824666380882263,0.9993441700935364,0.027520403265953064,0.9914000034332275,0.9919863939285278,0.9902999997138977,0.9997424483299255,0.001
0.04547339677810669,0.9864000082015991,0.9880120158195496,0.9848833084106445,0.9994177222251892,0.0370246060192585,0.9882000088691711,0.989871621131897,0.9871000051498413,0.9994063377380371,0.001
0.042738646268844604,0.9868333339691162,0.9885867834091187,0.9860000014305115,0.9994673132896423,0.02310134842991829,0.9926000237464905,0.9931918382644653,0.9919999837875366,0.9997541904449463,0.001
0.0381234735250473,0.9876333475112915,0.9889412522315979,0.9866666793823242,0.9995540380477905,0.0314781479537487,0.989799976348877,0.9908872246742249,0.9894999861717224,0.9995760321617126,0.001
0.035661809146404266,0.9883166551589966,0.989461362361908,0.9873999953269958,0.9995591044425964,0.029816720634698868,0.9898999929428101,0.9901931285858154,0.9894999861717224,0.9995920658111572,0.001
