                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.97959,                 3.1988,                 1.2977,                0.00887,                0.95842,                0.49684,                0.34708,                 1.0524,                 4.0559,                 1.0556,                0.07038,              0.0032911,              0.0032911
                      1,                0.98366,                  1.918,                 1.2455,                 0.2859,                0.43203,                0.28584,                0.16389,                 1.3046,                 3.3216,                  1.268,               0.040314,              0.0065589,              0.0065589
                      2,                 1.0865,                  1.756,                  1.304,                0.26864,                0.06706,                0.07377,                0.04989,                 2.3925,                 8.3925,                 2.3499,               0.010183,              0.0097606,              0.0097606
                      3,                 1.1793,                 1.7797,                 1.3798,                0.45151,                 0.1073,                 0.1792,                0.11389,                 1.8697,                 4.2264,                 1.7798,               0.009703,               0.009703,               0.009703
                      4,                  1.147,                 1.6162,                 1.3551,                0.20463,                0.65118,                0.32851,                0.15328,                 1.7017,                 4.9921,                 1.6623,               0.009703,               0.009703,               0.009703
                      5,                 1.1132,                 1.4966,                 1.3232,                0.35661,                0.29621,                0.24407,                0.15613,                 1.3928,                 3.0978,                 1.3113,               0.009604,               0.009604,               0.009604
                      6,                 1.0601,                 1.3658,                 1.2931,                0.47665,                0.16759,                0.25353,                0.14396,                 1.8312,                 4.3896,                 1.7622,               0.009505,               0.009505,               0.009505
                      7,                 1.0535,                 1.2818,                 1.2797,                0.51176,                0.39347,                0.46596,                0.29852,                  1.306,                 1.5194,                 1.2358,               0.009406,               0.009406,               0.009406
                      8,                 1.0181,                 1.2098,                 1.2579,                0.51766,                0.74984,                0.59174,                0.36511,                 1.1859,                 1.4436,                 1.1984,               0.009307,               0.009307,               0.009307
                      9,                0.99042,                 1.1526,                 1.2437,                0.25452,                0.03993,                0.05015,                0.02944,                 1.9534,                 4.8903,                 1.9797,               0.009208,               0.009208,               0.009208
                     10,                0.96483,                   1.11,                 1.2155,                0.88655,                0.29665,                0.40702,                0.25089,                 1.2695,                 1.6098,                 1.2307,               0.009109,               0.009109,               0.009109
                     11,                0.94856,                  1.067,                 1.2145,                0.93453,                0.34477,                0.48716,                0.34475,                  1.273,                 1.5677,                 1.1922,                0.00901,                0.00901,                0.00901
                     12,                 0.9403,                 1.0226,                 1.2025,                0.75508,                0.49974,                0.66214,                0.41779,                 1.0398,                 1.2468,                  1.079,               0.008911,               0.008911,               0.008911
                     13,                0.92017,                0.99644,                 1.1945,                0.44499,                0.71894,                0.69395,                0.48592,                 1.1363,                 1.4749,                 1.1242,               0.008812,               0.008812,               0.008812
                     14,                0.90854,                0.97199,                 1.1884,                0.50415,                0.62576,                0.65059,                0.47605,                 1.2072,                 1.3229,                 1.1545,               0.008713,               0.008713,               0.008713
                     15,                0.90667,                0.95508,                 1.1853,                0.57769,                0.63926,                0.61265,                0.42241,                 1.1016,                  1.108,                 1.0964,               0.008614,               0.008614,               0.008614
                     16,                0.90134,                0.93529,                 1.1767,                 0.5874,                0.79986,                0.71261,                0.51647,                0.99867,                0.96375,                 1.0483,               0.008515,               0.008515,               0.008515
                     17,                 0.8762,                0.90758,                 1.1627,                0.94813,                0.43943,                0.60405,                0.39252,                  1.096,                 1.1074,                 1.1055,               0.008416,               0.008416,               0.008416
                     18,                0.87509,                0.87657,                 1.1593,                0.94128,                0.49827,                0.58101,                0.41588,                 1.1102,                 1.1481,                 1.0936,               0.008317,               0.008317,               0.008317
                     19,                0.87584,                0.87052,                 1.1614,                0.51276,                0.73789,                0.64502,                0.43961,                 1.1486,                0.98817,                 1.0878,               0.008218,               0.008218,               0.008218
                     20,                0.84664,                0.84414,                 1.1496,                0.56305,                0.62789,                0.71857,                0.47926,                 1.0596,                0.79587,                 1.0724,               0.008119,               0.008119,               0.008119
                     21,                0.84511,                 0.8417,                 1.1477,                0.82106,                0.64537,                0.78106,                0.56918,                 1.0137,                 1.0723,                 1.0407,                0.00802,                0.00802,                0.00802
                     22,                0.84426,                 0.8279,                 1.1435,                0.60626,                0.76244,                0.75658,                0.55785,                0.96217,                0.79394,                 1.0071,               0.007921,               0.007921,               0.007921
                     23,                0.82854,                0.79639,                 1.1321,                 0.5824,                0.59209,                0.65222,                0.45654,                0.96646,                0.86645,                  1.035,               0.007822,               0.007822,               0.007822
                     24,                0.82769,                0.78516,                 1.1266,                0.58726,                0.92474,                0.72886,                0.53807,                 0.9694,                0.72501,                  1.027,               0.007723,               0.007723,               0.007723
                     25,                0.82029,                0.78436,                  1.124,                0.60405,                0.55665,                0.65019,                0.45967,                 1.0787,                0.92023,                 1.0622,               0.007624,               0.007624,               0.007624
                     26,                0.81455,                0.76437,                  1.122,                0.73753,                0.73641,                0.67731,                0.49622,                0.91878,                0.78064,                0.99173,               0.007525,               0.007525,               0.007525
                     27,                0.80978,                0.76437,                 1.1222,                0.75069,                0.78541,                0.81959,                0.57489,                 0.9639,                0.64288,                 1.0147,               0.007426,               0.007426,               0.007426
                     28,                0.79395,                0.74092,                 1.1112,                0.73525,                0.75684,                  0.801,                0.58648,                0.97956,                0.66077,                 1.0108,               0.007327,               0.007327,               0.007327
